EST,MONTH,STA,YEAR,Abra aequalis,Acteocina canaliculata,Aligena texasiana,Alitta succinea,Amaeana trilobata,Americamysis almyra,Ampelisca abdita,Ampelisca verrilli,Ancistrosyllis jonesi,Anthozoa (unidentified),Apoorophium louisianum,Apseudes sp. A,Aricidea (Acmira) catharinae,Aricidea bryani,Armandia maculata,Axiothella sp. A,Bivalvia (unidentified),Brachidontes exustus,Caecum johnsoni,Callianassa sp.,Callinectes sapidus,Capitella capitata,Capitellidae (unidentified),Caprellidae (unidentified),Ceratonereis irritabilis,Ceratopogonidae (larvae),Cerebratulus lacteus,Chironomidae (larvae),Chone sp.,Clymenella mucosa,Clymenella torquata,Corbula contracta,Cossura delta,Cyclaspis varians,Cyclopoida (commensal),Damselfly nymphs,Diopatra cuprea,Diplodonta punctata,Dipolydora caulleryi,Dipolydora socialis,Diptera (unidentified),Drilonereis magna,Echiuridae (unidentified),Ensis minor,Euclymene sp. B,Eudorella sp.,Eulimastoma sp.,Eumida sanguinea,Eusarsiella texana,Eusarsiella zostericola,Exogone sp.,Farfantepenaeus setiferus,Glycera americana,Glycinde solitaria,Grandidierella bonnieroides,Gyptis brevipalpa,Haploscoloplos fragilis,Haploscoloplos sp.,Hauchiella sp.,Hermundura ocularis,Heteromastus filiformis,Ilyocryptus spinifer,Laeonereis culveri,Lepton sp.,Leucon sp.,Listriella barnardi,Listriella clymenellae,Lumbrineris parvapedata,Lyonsia hyalina floridana,Macoma mitchelli,Magelona phyllisae,Magelona rosea,Maldanidae (unidentified),Malmgreniella taylori,Mediomastus ambiseta,Mediomastus californiensis,Megalomma bioculatum,Megalopa larvae,Melinna maculata,Mercenaria campechiensis,Microphiopholis atra,Microphthalmus aberrans,Microprotopus sp.,Minuspio cirrifera,Molgula manhattensis,Monoculodes sp.,Mulinia lateralis,Munnidae (unidentified),Mysella planulata,Mysidopsis sp.,Naineris laevigata,Nassarius acutus,Nassarius vibex,Nemertea (unidentified),Nereididae (unidentified),Neritina virginea,No species observed,Notomastus latericeus,Nuculana acuta,Nuculana concentrica,Nudibranchia (unidentified),Ogyrides alphaerostris,Oligochaeta (unidentified),Ostracoda (unidentified),Oxyurostylis sp.,Paleanotus heteroseta,Pandora trilineata,Paradoneis lyra,Paranaitis speciosa,Paraprionospio pinnata,Periploma cf. orbiculare,Periploma margaritaceum,Phascolion strombus,Phoronis architecta,Phyllodocidae (unidentified),Pilargis berkeleyae,Pinnixa sp.,Pista palmata,Polydora cornuta,Polydora sp.,Potamanthidae (unidentified),Rangia flexuosa,Rictaxis punctostriatus,Sabaco elongatus,Sabellidae (unidentified),Samythella eliasoni,Sarsiella disparalis,Schistomeringos rudolphi,Schistomeringos sp. A,Schizocardium sp.,Sigambra bassi,Sigambra tentaculata,Sphaerosyllis cf. sublaevis,Sphaerosyllis sp. A,Spiochaetopterus costarum,Spiophanes bombyx,Streblospio benedicti,Tagelus plebeius,Tellina sp.,Terebellidae (unidentified),Texadina sphinctostoma,Tharyx setigera,Trachypenaeus constrictus,Turbellaria (unidentified),Turbonilla sp.,Vitrinellidae (unidentified)
BR,JUL,C,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
BR,JUL,C,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,
BR,OCT,A,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
BR,OCT,A,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,
BR,OCT,A,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
BR,OCT,A,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
BR,OCT,A,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
BR,OCT,A,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
BR,OCT,B,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
BR,OCT,B,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
BR,OCT,B,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
BR,OCT,B,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
BR,OCT,B,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,
BR,OCT,B,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
BR,OCT,C,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
BR,OCT,C,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
BR,OCT,C,2002,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,
BR,OCT,C,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
BR,OCT,C,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,
BR,OCT,C,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
CB,JAN,A,2002,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,23,,,,,,,,,,,,1,,1,,,,,,,,,,2,3,,,,,,,,16,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,
CB,JAN,A,2003,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,24,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,22,,,1,,,,,,,,,,,,,1,,,1,,,,,,2,,,,5,,,,,9,,,1,
CB,JAN,A,2002,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,1,,6,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,4,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
CB,JAN,A,2003,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,16,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,17,,,3,,,,,,,,,,,,,,,,,,1,1,,,3,,,,1,,,,,2,,,,1
CB,JAN,A,2002,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,18,,1,,,,1,,,,,,,,7,,,,,,,,,,,2,,,,,,,,12,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,JAN,A,2003,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3,1,,,,,1,25,,,,,,1,,,,,,2,,1,,,,,1,1,,,1,,,,,1,,,,,26,,,4,,,,,,,,,,,,,3,,,,,1,,,,3,,,,4,,,,,26,,,,
CB,JAN,B,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
CB,JAN,B,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,2,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,7,,,,,,,,,
CB,JAN,B,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
CB,JAN,B,2003,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,1,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,
CB,JAN,B,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CB,JAN,B,2003,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,7,,,,,,,,,,,,1,,2,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
CB,JAN,C,2002,,,1,,1,,1,,1,,,,8,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,20,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,9,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,1,,1,,
CB,JAN,C,2003,1,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,,2,,2,,,,,,8,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,13,,,,1,,1,,,,,,,,2,,,,,1,,,,,,,,,,,,,1,7,,,5,2,,,,,,,,,,,,1,,,,,,1,,,3,,,,,,,,,,,,,
CB,JAN,C,2002,,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,20,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,13,2,1,,,,,,,,,,,,,,1,,,,,,3,,,,2,,,,,,,,10,,,,
CB,JAN,C,2003,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,2,,,,,,,,,,1,,,3,,,,,,,,,,,2,2,,,1,,,1,31,,,,1,,1,,,,,,,,9,,,,,3,1,,,,,,,,1,,,,,34,,,5,4,,,,,,,,,,,,1,,,,1,2,1,,,2,,,,2,,,,,11,,,,
CB,JAN,C,2002,,,,,,,1,,,,,,3,,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,17,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,26,,1,1,1,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,6,,,1,
CB,JAN,C,2003,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,27,,,,,,1,,,,1,,1,,2,,,,,1,,,,,,,,,,,,,,21,,,4,3,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,11,,,,
CB,APR,A,2002,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,1,3,,,,,,,,,,,1,,,,,,,,,2,,,2,,,,,,1,27,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,18,,,6,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,20,,,,
CB,APR,A,2003,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,5,,,,,,,27,,,,2,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,17,,,14,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,10,,,,
CB,APR,A,2002,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,14,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,14,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2,,,,
CB,APR,A,2003,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,42,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,,,7,,,,,,,,,,,,,6,,,,,,2,,,1,,,,,,,,,,,,,
CB,APR,A,2002,,,1,,,,,,,1,,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,1,1,,,,,,,1,,,2,,,,1,,,,,7,1,,2,,,,,,1,29,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,,,,1,,13,,,9,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
CB,APR,A,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,3,,,,,1,,25,,,,1,,,,,,,,,,2,,,,,2,,,,,3,,,,,,,,,22,,,5,,,,,,,,,,,,,5,,,,,1,1,,,,,,,2,,,,,1,,,,
CB,APR,B,2002,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,APR,B,2003,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,1,,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,
CB,APR,B,2002,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,11,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,15,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
CB,APR,B,2003,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,11,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
CB,APR,B,2002,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
CB,APR,B,2003,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
CB,APR,C,2002,,,5,,,,1,,,,,,14,,,,,,,,,,,,1,,,,,,7,,,,,,,,3,,,,,,1,,,1,,,,,1,,,2,,,1,,,,,,,,2,8,,,,,,1,26,,,,1,,1,,,,,,,,,,,,,7,,,,,,,,,,,,,,56,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,,3,,,,
CB,APR,C,2003,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,15,,,,,,,29,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,19,,,1,3,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,18,,1,,
CB,APR,C,2002,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,14,,,,1,,2,,,,,,,,1,,,2,,,,,,,,,,,,9,,,,,,1,18,,,,,,1,,2,,,,,,,,,,,5,,,,1,,,,,,,,,,12,,,,,,1,,,,1,,,,,,,,,,,,4,,,,4,1,,,,,,,21,,,,
CB,APR,C,2003,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,6,,,,,,,,2,,,1,,,1,,,,,,,,,1,,2,,,,,,,,,,,,10,,,,,1,1,34,,,,1,,1,,,,,,,,7,,,,,2,,,,,,,,,,,1,,,16,,,1,,,,,,,,,,,,,,,,1,,3,2,,,,,,,,,,,,20,,,,
CB,APR,C,2002,,2,5,,,,1,,,,,,10,,,1,,,,,,,,,,,,,,,6,,,1,,,,,3,,,1,,,,,,,,,,,2,,,4,,,,,,,,,,,,7,,,,,,,14,,,,1,,1,,2,,,,,,1,,,,,1,,,,1,1,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5,,,,
CB,APR,C,2003,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,1,,1,,,,,,,,15,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,12,,,,,,,33,,,,1,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,11,,,1,3,,,,,,1,,,,,,,,,,,,1,,,1,,,,1,,,,,2,,,,
CB,JUL,A,2002,,,,,,,,,,,,,5,,,1,,,,,,,,,,,2,,,,,,1,,,,,,3,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,7,,,,,,2,,1,,,,1,,6,,,,,,,,,,,,,,,,,,,20,,1,5,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,2,,,,
CB,JUL,A,2003,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,20,,,,,,1,1,,,,,,,1,,,,,2,,,,1,1,,,,,,,,,19,,,6,3,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,
CB,JUL,A,2002,,,,,,,,,,,,,11,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,15,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,
CB,JUL,A,2003,,,,,,,,,,1,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,3,,,1,,,,,,,,,2,2,,,,,,16,,,1,1,,1,,,,,,,,,,,,,4,,,,,1,,,,,,,,,19,,,2,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,2,,,,
CB,JUL,A,2002,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,3,1,,,,,,25,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,15,,,2,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,4,,,1,1
CB,JUL,A,2003,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,1,,,2,,,,,,,17,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,24,,,10,,,,,,,,,,,,,3,,,,,1,1,,,,,,,,,,,,,,,2,
CB,JUL,B,2002,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,JUL,B,2003,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,7,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,
CB,JUL,B,2002,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
CB,JUL,B,2003,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,4,,,,,,5,,,,,,,,,,7,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
CB,JUL,B,2002,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
