Site,Replicate,Season,Year,Nemertean,Tellina versicolor,Tellina laevigata,Mulinia lateralis,Mactra fragilis,Macoma tenta,Macoma constricta,Ensis minor,Rangia cuneata,Donax texasianus,Amygdalum papyrium,Geukensia demissa,Tagelus divisus,Tagelus plebius,Petricolaria pholadiformis,Agriopoma texasianum,Mytilopsis leucophaetata,Rangia flexuosa,Modiolus squamosus,Neanthes succinea,Naineris grubei,Naineris bicornis,Dendronereis arborifera,Sigambra tentaculata,Nephtys incisa,Polydora aggregata,Polydora ligni,Polydora socialis,Spiophanes bombyx,Streblospio benedictii,Tharyx annulosus,Cossura sp. A,Trochochaeta sp. A,Hobsonia florida,Paranaitis speciosa,Pisione remota,Poecilochaetus johnsoni,Spio pettiboneae,Polydora caulleryi,Dispio uncinata,Microspio pigmentata,Scolepis texana,Scoloplos sp. B,Eteone lactea,Eteone heteropoda,Capitella capitata,Mediomastus ambiseta,Mediomastus spp ,Decamastus gracilis,Boguea enigmatica,Dasybranchus lunulatus,Mediomastus californiensis,Parandalia americana,Synelmis albini,Ceratonereis mirabilis,Paraprionospio pinnata,Amphiduros sp . A,Leitoscoloplos fragilis,Oliva reticularis,Glycinde solitaria,Diopatra cuprea,Nothria sp. A,Salvatoria clavata,Certatocephalus oculata,Monayunkia aestuarina,Vitta  usnea,Littoridinops palustris,Eulimastoma canaliclatum,Macrocyraea zebra,Nassarius acutus,Nassarius vibex,Anthuridae spp.,Ptilanthura colpos,Ampeliscidae spp.,Ampelisca abdita,Leucon acutirostris,Corophium louisianum,Dexaminidae,Gammarus spp. ,Gammarus mucronatus,Haustoriidae spp. ,Ischyroceridae,Lysianassidae,Megaluropidaespp.,Cerapus benthophilius,Ancinus depressus,Clibanarius vittatus,Callinectes sapidus,Pagurus annulipes,Elasmopus levis,Listriella barnardii,Mysidopsis bigelowi,Mysidae spp.,Bowmaniella dissimilis,Colomastigidae,Liljeborgiidae,Panopeus obesus,Upogebia affinis,Rithropanopeus harrisii,Farfantepenaeus duorarum,unknown polychaete,Oligochaete (Tubificidae),Anispotera,Chironomi larvae,Bug 1,unknown amphipod,Spionidae,Penaeidae,Decapod,hippogriff,Coordinates (DMM),Temperature,Salinity,Salinity_class,Dissolved Oxygen,pH,abundance,richness,Site,Replicate,Season,Year,DF,SF,DS,H,PA,PR,OM,GC,FC,SC,PI,U,hippogriff,percent_clay,percent_silt,percent_sand,percent_LOI,Bobs,Bdep,mean_annual_SAL,SAL_anomaly,Site,Replicate,Season,Year
1,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚18.704' W -89˚53.275',22.3,29.65,polyhaline,9.58,8.24,1,1,1,R1,Spring,2021,1,0,0,0,0,0,0,0,0,0,0,0,1,2.3809358,2.0713162,95.5477968,2.403392403,0.7024797,1.9301289,21.5316,-8.1184,1,R1,Spring,2021
1,R2,Spring,2021,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚18.704' W -89˚53.275',22.3,29.65,polyhaline,9.58,8.24,22,8,1,R2,Spring,2021,1,4,0,0,0,11,5,0,0,0,0,0,1,2.3809358,2.0713162,95.5477968,2.403392403,0.7024797,1.9301289,21.5316,-8.1184,1,R2,Spring,2021
1,R3,Spring,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚18.704' W -89˚53.275',22.3,29.65,polyhaline,9.58,8.24,7,5,1,R3,Spring,2021,1,2,2,0,0,0,0,0,0,0,0,0,1,2.3809358,2.0713162,95.5477968,2.403392403,0.7024797,1.9301289,21.5316,-8.1184,1,R3,Spring,2021
2,R1,Spring,2021,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.917' W -89˚56.985',25.2,10.3,mesohaline,8.51,7.72,4,1,2,R1,Spring,2021,0,4,0,0,0,0,0,0,0,0,0,0,1,13.176932,28.531268,58.29178257,11.65784541,0.5881443,3.3065217,9.907333333,-0.392666667,2,R1,Spring,2021
2,R2,Spring,2021,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.917' W -89˚56.985',25.2,10.3,mesohaline,8.51,7.72,3,1,2,R2,Spring,2021,0,3,0,0,0,0,0,0,0,0,0,0,1,13.176932,28.531268,58.29178257,11.65784541,0.5881443,3.3065217,9.907333333,-0.392666667,2,R2,Spring,2021
2,R3,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.917' W -89˚56.985',25.2,10.3,mesohaline,8.51,7.72,1,1,2,R3,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,13.176932,28.531268,58.29178257,11.65784541,0.5881443,3.3065217,9.907333333,-0.392666667,2,R3,Spring,2021
3,R1,Spring,2021,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.559' W -89˚56.905',25.3,10.86,mesohaline,8.85,7.98,4,1,3,R1,Spring,2021,0,4,0,0,0,0,0,0,0,0,0,0,1,17.3749792,29.500928,53.12412292,8.576258043,0.6672335,1.4856731,8.849857143,-2.010142857,3,R1,Spring,2021
3,R2,Spring,2021,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.559' W -89˚56.905',25.3,10.86,mesohaline,8.85,7.98,7,4,3,R2,Spring,2021,0,5,0,0,0,0,2,0,0,0,0,0,1,17.3749792,29.500928,53.12412292,8.576258043,0.6672335,1.4856731,8.849857143,-2.010142857,3,R2,Spring,2021
3,R3,Spring,2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.559' W -89˚56.905',25.3,10.86,mesohaline,8.85,7.98,4,2,3,R3,Spring,2021,0,2,2,0,0,0,0,0,0,0,0,0,1,17.3749792,29.500928,53.12412292,8.576258043,0.6672335,1.4856731,8.849857143,-2.010142857,3,R3,Spring,2021
4,R3,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.894' W -90˚06.497',25,0.077,oligohaline,8.1,7.83,1,1,4,R3,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,13.2297987,28.020749,58.7494746,57.82698735,0.7091399,0.3487299,6.6906,6.6136,4,R3,Spring,2021
5,R2,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚33.928' W -90˚09.891',21.8,0.809,oligohaline,8.09,7.69,2,1,5,R2,Spring,2021,0,2,0,0,0,0,0,0,0,0,0,0,1,7.1531299,17.753442,75.0934696,23.57227903,0.5461847,3.925037,3.60325,2.79425,5,R2,Spring,2021
6,R1,Spring,2021,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.814' W -90˚02.512',23.9,5.203,mesohaline,8.38,7.89,3,2,6,R1,Spring,2021,0,3,0,0,0,0,0,0,0,0,0,0,1,8.6034726,18.342648,73.05388,2.689086531,0.606866,3.5831396,7.921375,2.718375,6,R1,Spring,2021
6,R2,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.814' W -90˚02.512',23.9,5.203,mesohaline,8.38,7.89,1,1,6,R2,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,8.6034726,18.342648,73.05388,2.689086531,0.606866,3.5831396,7.921375,2.718375,6,R2,Spring,2021
6,R3,Spring,2021,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.814' W -90˚02.512',23.9,5.203,mesohaline,8.38,7.89,3,3,6,R3,Spring,2021,0,2,0,0,0,1,0,0,0,0,0,0,1,8.6034726,18.342648,73.05388,2.689086531,0.606866,3.5831396,7.921375,2.718375,6,R3,Spring,2021
7,R1,Spring,2021,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.772' W -90˚00.640',24.1,5.897,mesohaline,8.01,7.79,3,1,7,R1,Spring,2021,0,3,0,0,0,0,0,0,0,0,0,0,1,10.7061448,23.779207,65.5146576,11.07553956,0.6330634,2.7548834,4.0395,-1.8575,7,R1,Spring,2021
7,R2,Spring,2021,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.772' W -90˚00.640',24.1,5.897,mesohaline,8.01,7.79,2,2,7,R2,Spring,2021,0,2,0,0,0,0,0,0,0,0,0,0,1,10.7061448,23.779207,65.5146576,11.07553956,0.6330634,2.7548834,4.0395,-1.8575,7,R2,Spring,2021
7,R3,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,N 29˚29.772' W -90˚00.640',24.1,5.897,mesohaline,8.01,7.79,2,2,7,R3,Spring,2021,1,1,0,0,0,0,0,0,0,0,0,0,1,10.7061448,23.779207,65.5146576,11.07553956,0.6330634,2.7548834,4.0395,-1.8575,7,R3,Spring,2021
8,R1,Spring,2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.422' W -89˚54.405',19.5,25.03,polyhaline,15.22,8.7,6,2,8,R1,Spring,2021,0,6,0,0,0,0,0,0,0,0,0,0,1,1.34263434,0.924597,97.73277001,0.437831213,0.7730269,0.6053976,18.355,-6.675,8,R1,Spring,2021
8,R2,Spring,2021,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.422' W -89˚54.405',19.5,25.03,polyhaline,15.22,8.7,15,3,8,R2,Spring,2021,0,7,0,0,0,1,7,0,0,0,0,0,1,1.34263434,0.924597,97.73277001,0.437831213,0.7730269,0.6053976,18.355,-6.675,8,R2,Spring,2021
8,R3,Spring,2021,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.422' W -89˚54.405',19.5,25.03,polyhaline,15.22,8.7,10,4,8,R3,Spring,2021,0,8,0,0,0,1,1,0,0,0,0,0,1,1.34263434,0.924597,97.73277001,0.437831213,0.7730269,0.6053976,18.355,-6.675,8,R3,Spring,2021
9,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚16.169' W -89˚57.383',19.9,23.69,polyhaline,12.41,8.53,11,1,9,R1,Spring,2021,0,11,0,0,0,0,0,0,0,0,0,0,1,1.07258349,0.5332591,98.39410596,0.373179403,0.7549003,1.6052902,18.81,-4.88,9,R1,Spring,2021
9,R2,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚16.169' W -89˚57.383',19.9,23.69,polyhaline,12.41,8.53,9,1,9,R2,Spring,2021,0,9,0,0,0,0,0,0,0,0,0,0,1,1.07258349,0.5332591,98.39410596,0.373179403,0.7549003,1.6052902,18.81,-4.88,9,R2,Spring,2021
9,R3,Spring,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚16.169' W -89˚57.383',19.9,23.69,polyhaline,12.41,8.53,6,3,9,R3,Spring,2021,0,5,0,0,0,1,0,0,0,0,0,0,1,1.07258349,0.5332591,98.39410596,0.373179403,0.7549003,1.6052902,18.81,-4.88,9,R3,Spring,2021
10,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.776' W -90˚00.969',21,23.22,polyhaline,11.77,8.58,10,4,10,R1,Spring,2021,7,2,0,0,0,1,0,0,0,0,0,0,1,14.3438078,24.499875,61.15632455,14.49297914,0.6768025,1.5666362,17.37,-5.85,10,R1,Spring,2021
10,R2,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.776' W -90˚00.969',21,23.22,polyhaline,11.77,8.58,3,2,10,R2,Spring,2021,2,1,0,0,0,0,0,0,0,0,0,0,1,14.3438078,24.499875,61.15632455,14.49297914,0.6768025,1.5666362,17.37,-5.85,10,R2,Spring,2021
10,R3,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.776' W -90˚00.969',21,23.22,polyhaline,11.77,8.58,9,2,10,R3,Spring,2021,5,2,0,0,0,0,0,0,0,0,0,0,1,14.3438078,24.499875,61.15632455,14.49297914,0.6768025,1.5666362,17.37,-5.85,10,R3,Spring,2021
11,R2,Spring,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.287' W -90˚'02.707',25.8,14.07,mesohaline,8.04,7.76,2,2,11,R2,Spring,2021,1,1,0,0,0,0,0,0,0,0,0,0,1,21.93301,39.93597,38.13103378,6.031771063,0.6932806,2.0881422,12.654,-1.416,11,R2,Spring,2021
