Month,Year,Site,Flow intermittence (%),Halacaridae,Oribatidae,Hydra,Antiporus strigosulus,Liodessus plicatus,Elmidae,Hydrophilidae,Ptilodactylidae,Scritidae,Paracalliope,Paracrangonyx,Paraleptamphopus,Phreatogammarus,Cladocera,Cyclopoida,Harpacticoida,Janiridae,Ostracoda,Syncarida,Chironomus,Corynoneura,Cricotopus,Eukiefferiella,Maoridiamesa,Naonella,Orthoclad. spA,Orthoclad. spC,Orthocladiinae,Pirara,Podonominae,Polypedilum,Stictocladius,Tanypodinae,Tanytarsini,Empididae,Ephydrella,Aphrophila,Eriopterini,Molophilus ,Paralimnophila skusei,Muscidae,Psychodidae,Austrosimulium,Coloburiscus humeralis,Atalophlebiodes cromwelli,Deleatidium ,Neozephlebia scita,Sigara,Saldidae,Glossiphonidae,Archichauliodes diversus,Gyraulus,Lymnaea,Physa,Potamopyrgus antipodarum,Nematoda,Enchytraeidae,Haplotaxidae,Lumbriculus,Naididae,Phreodrilidae,Tubificidae,Stenoperla prasina,Zelandobius,Zelandoperla,Tardigrada,Beraeoptera roria,Olinga feredayi,Pycnocentria,Pycnocentrodes,Helicopsyche,Costachorema psarapterum,Costachorema xanthoptera,Hydrobiosis charadraea,Hydrobiosis clavigera,Hydrobiosis parumbripenni,Hydrobiosis umbripennis,Neurochorema confusum,Psilochorema bidens,Psilochorema leptoharpax,Psilochorema macroharpax,Aoteapsyche catherinae,Aoteapsyche colonica,Aoteapsyche raruraru,Oxyethira albiceps,Hudsonema amabilis,Triplectides,Polyplectropus,Platyhelminthes,,
August,2004,Ridgens,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,,
October,2004,Ridgens,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,12,291,8,26,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,,
November,2003,Westernras,83,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,84,0,0,0,0,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2004,Westernras,83,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,4,0,0,10,2,71,0,79,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,212,0,0,0,0,0,0,0,0,0,1,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2,0,2,0,0,0,0,0,0,0,0,,
November,2003,Old South Road,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,262,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Old South Road,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,,
October,2004,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,33,12,26,0,303,2,0,79,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
October,2004,Old South Road,84,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,55,16,35,0,182,1,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,54,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
October,2004,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,49,13,142,0,237,2,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
October,2004,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,48,16,93,0,411,3,0,48,2,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Highfield,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,10,200,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,2,0,0,0,0,,
October,2004,Highfield,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,12,25,0,6,3,0,227,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,McGregor,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,123,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,0,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,0,0,0,0,0,0,0,1,0,0,0,0,,
August,2004,McGregor,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Withells,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,10,90,198,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,
November,2003,Withells,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,500,0,4,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,5,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,,
August,2004,Withells,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
September,2004,Withells,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,5,0,1,1,0,8,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
October,2004,Withells,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,6,8,13,0,106,1,0,131,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,,
November,2003,Raywell,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1000,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,27,0,0,0,0,0,0,2,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,,
December,2003,Raywell,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,402,745,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,17,0,6,0,6,0,0,0,34,0,0,1,0,,
August,2004,Raywell,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,
October,2004,Raywell,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,3,23,55,0,113,4,0,446,3,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,27,0,0,0,0,0,0,0,0,0,0,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,,
November,2003,Old Bridge Road,0,0,0,0,0,0,11,0,0,0,1,0,0,14,0,0,0,15,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,235,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,3,0,0,0,0,37,0,150,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,
February,2004,Old Bridge Road,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,366,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,152,0,174,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,,
May,2004,Old Bridge Road,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,20,29,0,5,3,0,3,230,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,326,0,0,0,0,0,0,0,3,252,0,0,0,0,0,0,0,0,0,0,0,0,62,160,377,0,0,0,0,0,1,0,0,0,0,0,1,4,0,26,0,0,0,0,,
June,2004,Old Bridge Road,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,6,0,1,1,0,1,186,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,1,265,0,0,0,0,0,0,0,1,0,0,0,0,27,30,220,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,,
July,2004,Old Bridge Road,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,32,14,0,1,1,0,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,325,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,19,58,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
October,2004,Old Bridge Road,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,7,58,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,496,0,0,0,0,0,0,0,6,500,0,0,0,0,0,0,0,2,0,0,0,0,224,30,318,0,0,0,0,0,2,1,0,3,0,1,0,0,0,0,0,0,2,0,,
November,2003,Coes Ford,0,0,0,0,0,0,18,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,175,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,78,0,1,0,0,0,0,0,0,,
November,2003,Coes Ford,0,0,0,0,0,0,50,0,0,6,0,1,0,2,0,0,0,0,0,14,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,317,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,,
December,2003,Coes Ford,0,0,0,0,0,0,59,0,1,1,0,1,0,0,0,0,0,1,0,13,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,300,1,7,0,0,0,0,0,0,,
December,2003,Coes Ford,0,0,0,0,0,0,270,0,2,1,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,219,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,7,0,0,0,26,5,46,0,0,0,0,0,0,,
December,2003,Coes Ford,0,0,0,0,0,0,204,5,2,12,0,0,0,10,0,0,0,1,0,15,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,316,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,41,1,13,0,0,0,0,0,0,,
February,2004,Coes Ford,0,0,0,0,0,0,576,0,1,0,0,0,0,16,0,0,0,0,0,8,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,7,0,0,0,0,0,0,,
February,2004,Coes Ford,0,0,0,0,0,0,142,0,3,1,0,13,6,0,0,0,0,1,0,11,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,3,0,0,0,0,0,0,,
April,2004,Coes Ford,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,1028,0,16,275,0,9,120,0,18,0,0,0,0,0,0,0,0,0,0,0,16,0,0,570,0,0,0,0,0,0,0,0,65,0,0,0,0,448,0,0,0,0,0,0,0,252,1016,10666,0,0,0,0,0,2,2,2,8,1,5,6,66,0,286,16,0,0,4,,
April,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,96,0,0,0,559,561,0,8,259,0,4,179,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,208,0,0,0,0,368,0,0,0,0,0,0,0,611,376,9967,0,0,0,0,0,2,3,2,7,1,6,4,44,0,188,17,0,0,4,,
April,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,0,0,224,0,1,0,999,748,0,9,399,0,5,216,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,4,243,0,0,0,0,144,0,0,6,0,0,0,0,588,164,10434,0,0,0,0,0,4,2,1,14,1,6,0,3,0,357,18,0,0,0,,
May,2004,Coes Ford,0,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,32,0,0,1,340,213,0,3,2,71,2,99,0,2,0,0,45,0,0,0,0,0,0,0,0,2,0,0,286,0,0,0,0,0,0,0,4,462,0,0,0,0,0,0,0,0,0,0,0,0,124,515,7553,0,0,0,0,0,1,2,7,4,0,1,7,52,0,27,0,0,0,0,,
May,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,32,0,0,16,129,323,16,1,1,167,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1,0,0,583,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,4,0,0,0,0,331,341,11762,0,0,0,0,0,2,3,6,11,1,6,6,40,0,65,19,0,0,0,,
May,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,64,0,0,16,202,373,0,0,0,135,0,16,0,1,0,0,48,0,0,0,0,0,0,0,0,2,0,0,315,0,0,0,0,0,0,0,17,100,0,0,0,0,0,0,0,0,0,0,0,0,422,1121,12960,0,0,0,0,0,0,0,6,0,0,0,6,73,0,48,32,0,0,0,,
June,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,470,1,16,11,24,9,7,0,1,0,0,23,0,0,0,0,0,0,0,0,17,0,0,761,0,0,0,0,0,0,0,17,167,0,0,0,0,0,0,0,6,0,0,0,0,291,401,5692,0,0,0,0,1,0,3,1,6,0,1,0,6,0,3,0,2,0,0,,
June,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1731,509,0,10,25,18,6,4,0,1,8,0,2,0,1,0,0,0,0,0,0,0,0,0,1670,0,0,0,0,0,0,0,98,88,0,0,0,1,0,0,0,6,0,0,0,0,544,302,7457,0,0,0,0,0,3,4,12,19,1,6,0,12,0,7,3,0,0,0,,
June,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,596,531,5,3,2,0,2,1,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,2,79,0,0,0,0,0,0,0,6,0,0,0,0,860,623,4988,0,0,0,0,0,2,2,1,20,0,3,11,94,0,7,7,0,0,0,,
July,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,175,6,25,6,0,1,5,0,8,0,0,20,0,0,0,0,0,0,0,0,4,0,0,512,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,4,0,0,0,0,199,258,2324,0,0,0,0,0,2,1,2,2,0,2,3,5,0,0,10,0,0,0,,
July,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,32,0,0,0,375,150,4,7,1,54,1,1,0,19,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1005,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,1,0,0,0,0,351,351,2912,0,0,0,0,0,7,1,0,27,0,3,5,16,0,1,9,0,0,0,,
July,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,0,6,480,135,1,4,1,5,0,0,0,2,0,0,55,0,0,0,0,0,0,0,0,1,0,0,213,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,3,0,0,0,0,339,204,2660,0,0,0,0,0,0,1,1,10,0,0,13,32,0,1,1,1,0,0,,
August,2004,Coes Ford,0,0,0,0,0,0,1,0,0,0,1,1,3,4,2,0,0,0,23,0,0,1,69,24,1,2,1,31,1,11,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,41,24,71,0,0,0,0,0,0,1,0,3,0,0,0,2,0,1,2,0,4,0,,
August,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,0,3,0,8,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,
August,2004,Coes Ford,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,16,11,0,2,0,11,0,4,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,3,1,0,0,0,25,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,
September,2004,Coes Ford,0,17,4,2,0,0,6,0,0,0,1,1,3,3,2,13,0,0,26,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,1,256,0,0,0,3,6,3,0,40,0,0,0,0,665,33,332,0,0,0,0,0,0,0,0,14,0,1,0,4,0,0,3,0,1,10,,
September,2004,Coes Ford,0,0,0,23,0,0,0,0,0,0,2,2,7,8,9,30,0,0,24,0,0,0,0,36,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,887,0,0,0,0,0,0,0,6,31,0,0,0,0,28,0,0,1,0,0,0,0,21,7,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,,
October,2004,Coes Ford,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,101,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,601,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,0,11,0,0,0,0,175,23,148,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,2,,
October,2004,Coes Ford,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,740,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,18,6,98,0,0,0,0,0,2,2,1,4,0,0,0,3,0,2,1,0,2,0,,